date,name,category,value
2020-09-15,LINK,Link,12.1335
2020-09-15,LTC,Ltc,49.06
2020-09-16,BNB,CeFi,27.119
2020-09-16,ETH,DeFi,364.06
2020-09-16,LINK,Link,10.9475
2020-09-16,LTC,Ltc,48.275
2020-09-17,BNB,CeFi,27.834
2020-09-17,ETH,DeFi,365.13
2020-09-17,LINK,Link,10.737
2020-09-17,LTC,Ltc,47.735
2020-09-18,BNB,CeFi,27.086
2020-09-18,ETH,DeFi,389.32
2020-09-18,LINK,Link,11.005
2020-09-18,LTC,Ltc,48.88
2020-09-19,BNB,CeFi,27.644
2020-09-19,ETH,DeFi,384.44
2020-09-19,LINK,Link,10.0915
2020-09-19,LTC,Ltc,48.52
2020-09-20,BNB,CeFi,27.189
2020-09-20,ETH,DeFi,385.25
2020-09-20,LINK,Link,10.124
2020-09-20,LTC,Ltc,48.51
2020-09-21,BNB,CeFi,26.321
2020-09-21,ETH,DeFi,370.97
2020-09-21,LINK,Link,9.733
2020-09-21,LTC,Ltc,47.115
2020-09-22,BNB,CeFi,23.109
2020-09-22,ETH,DeFi,340.35
2020-09-22,LINK,Link,8.7095
2020-09-22,LTC,Ltc,43.19
2020-09-23,BNB,CeFi,24.031
2020-09-23,ETH,DeFi,344.23
2020-09-23,LINK,Link,8.7425
2020-09-23,LTC,Ltc,44.465
2020-09-24,BNB,CeFi,22.838
2020-09-24,ETH,DeFi,320.62
2020-09-24,LINK,Link,7.633
2020-09-24,LTC,Ltc,42.995
2020-09-25,BNB,CeFi,24.554
2020-09-25,ETH,DeFi,348.82
2020-09-25,LINK,Link,9.8695
2020-09-25,LTC,Ltc,44.93
2020-09-26,BNB,CeFi,24.671
2020-09-26,ETH,DeFi,351.97
2020-09-26,LINK,Link,10.725
2020-09-26,LTC,Ltc,45.98
2020-09-27,BNB,CeFi,26.17
2020-09-27,ETH,DeFi,353.97
2020-09-27,LINK,Link,10.3195
2020-09-27,LTC,Ltc,46.005
2020-09-28,BNB,CeFi,26.221
2020-09-28,ETH,DeFi,357.54
2020-09-28,LINK,Link,10.7985
2020-09-28,LTC,Ltc,46.065
2020-09-29,BNB,CeFi,26.955
2020-09-29,ETH,DeFi,353.98
2020-09-29,LINK,Link,10.2835
2020-09-29,LTC,Ltc,45.28
2020-09-30,BNB,CeFi,28.886
2020-09-30,ETH,DeFi,360.02
2020-09-30,LINK,Link,10.136
2020-09-30,LTC,Ltc,45.69
2020-10-01,BNB,CeFi,29.252
2020-10-01,ETH,DeFi,359.86
2020-10-01,LINK,Link,9.8715
2020-10-01,LTC,Ltc,46.26
2020-10-02,BNB,CeFi,27.426
2020-10-02,ETH,DeFi,352.55
2020-10-02,LINK,Link,9.6455
2020-10-02,LTC,Ltc,46.21
2020-10-03,BNB,CeFi,27.33
